tokenId,hashpower
1,10000
2,10000
3,10000
4,10000
5,10000
6,10000
7,10000
8,10000
9,10000
10,10000
11,10000
12,10000
13,10000
14,10000
15,10000
16,10000
17,10000
18,10000
19,10000
20,10000
21,10000
22,10000
23,10000
24,15000
25,15000
26,15000
27,15000
28,15000
29,15000
30,15000
31,15000
32,15000
33,15000
34,15000
35,15000
36,15000
37,15000
38,15000
39,20000
40,20000
41,20000
42,20000
43,20000
44,20000
45,20000
46,20000
47,20000
48,20000
49,30000
50,30000
51,10000
52,10000
53,10000
54,10000
55,10000
56,10000
57,10000
58,10000
59,10000
60,10000
61,10000
62,10000
63,10000
64,10000
65,10000
66,10000
67,10000
68,10000
69,10000
70,10000
71,10000
72,10000
73,10000
74,15000
75,15000
76,15000
77,15000
78,15000
79,15000
80,15000
81,15000
82,15000
83,15000
84,15000
85,15000
86,15000
87,15000
88,15000
89,20000
90,20000
91,20000
92,20000
93,20000
94,20000
95,20000
96,20000
97,20000
98,20000
99,30000
100,30000
101,10000
102,10000
103,10000
104,10000
105,10000
106,10000
107,10000
108,10000
109,10000
110,10000
111,10000
112,10000
113,10000
114,10000
115,10000
116,10000
117,10000
118,10000
119,10000
120,10000
121,10000
122,10000
123,10000
124,15000
125,15000
126,15000
127,15000
128,15000
129,15000
130,15000
131,15000
132,15000
133,15000
134,15000
135,15000
136,15000
137,15000
138,15000
139,20000
140,20000
141,20000
142,20000
143,20000
144,20000
145,20000
146,20000
147,20000
148,20000
149,30000
150,30000
151,10000
152,10000
153,10000
154,10000
155,10000
156,10000
157,10000
158,10000
159,10000
160,10000
161,10000
162,10000
163,10000
164,10000
165,10000
166,10000
167,10000
168,10000
169,10000
170,10000
171,10000
172,10000
173,10000
174,15000
175,15000
176,15000
177,15000
178,15000
179,15000
180,15000
181,15000
182,15000
183,15000
184,15000
185,15000
186,15000
187,15000
188,15000
189,20000
190,20000
191,20000
192,20000
193,20000
194,20000
195,20000
196,20000
197,20000
198,20000
199,30000
200,30000